Region,Month,Current Value,Prior Year Value,YoY Growth (%),yoy_reliability
North Strip,2023-03,227.93,232.45,-1.95,reliable
North Strip,2024-03,197.7,227.93,-13.26,reliable
North Strip,2025-03,35.74,197.7,-81.92,reliable
South Strip,2023-03,62.76,53.3,17.75,reliable
South Strip,2024-03,56.73,62.76,-9.6,reliable
South Strip,2025-03,42.84,56.73,-24.5,reliable
