# WARNING: All dates parsed from relative strings. 
# Monthly counts may have ±2 week error for recent reviews 
# and ±6 month error for reviews older than 1 year.
# Treat monthly trends as directionally correct, 
# not precise.
Month,North Strip Index,South Strip Index,north_total_reviews,south_total_reviews,mgm_grand_missing
2022-03,232.44680851063828,53.301886792452834,437.0,226.0,True
2023-03,227.9255319148936,62.762222922830674,420.0,547.0,True
2024-03,197.6950354609929,56.73443359184189,258.0,2532.0,True
2025-03,35.739036995673594,42.83578398139332,723.0,2397.0,True
2025-04,25.715679981156008,25.966363258468558,361.0,439.0,True
2025-05,14.487635691040246,13.058490068901756,348.0,495.0,True
2025-06,5.682520397604881,4.1431006137460376,475.0,655.0,True
2025-07,5.760092808825658,3.9920346769277573,727.0,556.0,True
2025-08,5.335105817286261,4.09763844374759,901.0,873.0,True
2025-09,5.742427004684103,4.011459242515776,1263.0,1061.0,True
2025-10,5.034838317926769,5.805587767312919,1231.0,1216.0,True
2025-11,6.10137156049569,5.498999457429671,2041.0,2346.0,True
2025-12,6.133857905482014,5.537939925762758,1846.0,2189.0,True
2026-01,6.655807413719617,5.947273025875372,1948.0,2617.0,True
2026-02,7.071740419054449,6.4825024575625605,2492.0,3564.0,True
